,mpid,fname,sname,party,url
168,42983,Samantha,Dixon,Lab,https://www.publicwhip.org.uk/mp.php?mpid=42983
169,42998,Anneliese,Dodds,Lab,https://www.publicwhip.org.uk/mp.php?mpid=42998
170,43191,Helena,Dollimore,Lab,https://www.publicwhip.org.uk/mp.php?mpid=43191
171,43422,Dave,Doogan,SNP,https://www.publicwhip.org.uk/mp.php?mpid=43422
172,43177,Stephen,Doughty,Lab,https://www.publicwhip.org.uk/mp.php?mpid=43177
173,42813,Peter,Dowd,Lab,https://www.publicwhip.org.uk/mp.php?mpid=42813
174,42977,Oliver,Dowden,Con,https://www.publicwhip.org.uk/mp.php?mpid=42977
175,43179,Graeme,Downie,Lab,https://www.publicwhip.org.uk/mp.php?mpid=43179
176,43176,Rosie,Duffield,Lab,https://www.publicwhip.org.uk/mp.php?mpid=43176
177,43432,Rosie,Duffield,Independent,https://www.publicwhip.org.uk/mp.php?mpid=43432
178,42889,Iain,Duncan Smith,Con,https://www.publicwhip.org.uk/mp.php?mpid=42889
179,43428,Neil,Duncan-Jordan,Lab,https://www.publicwhip.org.uk/mp.php?mpid=43428
180,43045,Sarah,Dyke,LDem,https://www.publicwhip.org.uk/mp.php?mpid=43045
181,43337,Angela,Eagle,Lab,https://www.publicwhip.org.uk/mp.php?mpid=43337
182,43050,Maria,Eagle,Lab,https://www.publicwhip.org.uk/mp.php?mpid=43050
183,43313,Alex,Easton,Independent,https://www.publicwhip.org.uk/mp.php?mpid=43313
184,43411,Colum,Eastwood,SDLP,https://www.publicwhip.org.uk/mp.php?mpid=43411
185,42902,Sorcha,Eastwood,Alliance,https://www.publicwhip.org.uk/mp.php?mpid=42902
186,43344,Cat,Eccles,Lab,https://www.publicwhip.org.uk/mp.php?mpid=43344
187,43367,Lauren,Edwards,Lab,https://www.publicwhip.org.uk/mp.php?mpid=43367
188,43003,Sarah,Edwards,Lab,https://www.publicwhip.org.uk/mp.php?mpid=43003
189,43024,Clive,Efford,Lab,https://www.publicwhip.org.uk/mp.php?mpid=43024
190,43042,Damien,Egan,Lab,https://www.publicwhip.org.uk/mp.php?mpid=43042
191,43126,Maya,Ellis,Lab,https://www.publicwhip.org.uk/mp.php?mpid=43126
192,42814,Chris,Elmore,Lab,https://www.publicwhip.org.uk/mp.php?mpid=42814
193,42934,Kirith,Entwistle,Lab,https://www.publicwhip.org.uk/mp.php?mpid=42934
194,43127,Florence,Eshalomi,Lab,https://www.publicwhip.org.uk/mp.php?mpid=43127
195,42855,Bill,Esterson,Lab,https://www.publicwhip.org.uk/mp.php?mpid=42855
196,42871,Chris,Evans,Lab,https://www.publicwhip.org.uk/mp.php?mpid=42871
197,42846,Luke,Evans,Con,https://www.publicwhip.org.uk/mp.php?mpid=42846
198,42951,Miatta,Fahnbulleh,Lab,https://www.publicwhip.org.uk/mp.php?mpid=42951
199,43063,Hamish,Falconer,Lab,https://www.publicwhip.org.uk/mp.php?mpid=43063
200,42877,Nigel,Farage,Reform UK,https://www.publicwhip.org.uk/mp.php?mpid=42877
201,42888,Linsey,Farnsworth,Lab,https://www.publicwhip.org.uk/mp.php?mpid=42888
202,43173,Tim,Farron,LDem,https://www.publicwhip.org.uk/mp.php?mpid=43173
203,43263,Josh,Fenton-Glynn,Lab,https://www.publicwhip.org.uk/mp.php?mpid=43263
204,42788,Mark,Ferguson,Lab,https://www.publicwhip.org.uk/mp.php?mpid=42788
205,43318,Patricia,Ferguson,Lab,https://www.publicwhip.org.uk/mp.php?mpid=43318
206,42859,Natalie,Fleet,Lab,https://www.publicwhip.org.uk/mp.php?mpid=42859
207,42880,Stephen,Flynn,SNP,https://www.publicwhip.org.uk/mp.php?mpid=42880
208,42789,Emma,Foody,Lab,https://www.publicwhip.org.uk/mp.php?mpid=42789
209,43197,Catherine,Fookes,Lab,https://www.publicwhip.org.uk/mp.php?mpid=43197
210,43285,Richard,Foord,LDem,https://www.publicwhip.org.uk/mp.php?mpid=43285
211,43293,Will,Forster,LDem,https://www.publicwhip.org.uk/mp.php?mpid=43293
212,43327,Peter,Fortune,Con,https://www.publicwhip.org.uk/mp.php?mpid=43327
213,43149,Paul,Foster,Lab,https://www.publicwhip.org.uk/mp.php?mpid=43149
214,42918,Ashley,Fox,Con,https://www.publicwhip.org.uk/mp.php?mpid=42918
215,42925,Vicky,Foxcroft,Lab,https://www.publicwhip.org.uk/mp.php?mpid=42925
216,43007,Mary,Foy,Lab,https://www.publicwhip.org.uk/mp.php?mpid=43007
217,43158,Daniel,Francis,Lab,https://www.publicwhip.org.uk/mp.php?mpid=43158
218,42793,Mark,Francois,Con,https://www.publicwhip.org.uk/mp.php?mpid=42793
219,43282,Z&ouml;e,Franklin,LDem,https://www.publicwhip.org.uk/mp.php?mpid=43282
220,43253,George,Freeman,Con,https://www.publicwhip.org.uk/mp.php?mpid=43253
221,43198,Louie,French,Con,https://www.publicwhip.org.uk/mp.php?mpid=43198
